cost_type,amount,time,stage_name
wip_holding,337.7243,15604.1461,Final_Inspection
processing,56885.1666,15656.8942,Lapping
wip_holding,487.5871,15656.8942,Lapping
processing,42000.0,15664.1461,Packing
wip_holding,360.0,15664.1461,Packing
processing,111588.4339,15816.3062,Round_Grinding
wip_holding,956.4723,15816.3062,Round_Grinding
processing,27836.6128,15856.0728,Final_Inspection
wip_holding,238.5995,15856.0728,Final_Inspection
processing,42000.0,15916.0728,Packing
wip_holding,360.0,15916.0728,Packing
processing,368091.2889,15968.3505,Turning_Milling
wip_holding,3155.0682,15968.3505,Turning_Milling
processing,48986.2901,16038.331,QC_Turning
wip_holding,419.8825,16038.331,QC_Turning
processing,9399.4027,16051.7587,Laser_Marking
wip_holding,80.5663,16051.7587,Laser_Marking
processing,278026.4523,16094.5344,Turning_Milling
wip_holding,2383.0839,16094.5344,Turning_Milling
processing,43530.202,16156.7204,QC_Turning
wip_holding,373.116,16156.7204,QC_Turning
processing,21605.3426,16187.5852,Laser_Marking
wip_holding,185.1887,16187.5852,Laser_Marking
processing,95365.4233,16225.1103,Turning_Milling
wip_holding,817.4179,16225.1103,Turning_Milling
processing,47599.2564,16255.5841,Lapping
wip_holding,407.9936,16255.5841,Lapping
processing,187020.4586,16318.9308,Lapping
wip_holding,1603.0325,16318.9308,Lapping
processing,87202.8221,16349.6858,QC_Turning
wip_holding,747.4528,16349.6858,QC_Turning
processing,71717.6241,16452.1395,Laser_Marking
wip_holding,614.7225,16452.1395,Laser_Marking
processing,116986.0099,16486.0536,Round_Grinding
wip_holding,1002.7372,16486.0536,Round_Grinding
processing,43645.0969,16514.4896,Lapping
wip_holding,374.1008,16514.4896,Lapping
processing,53272.7465,16590.5936,Round_Grinding
wip_holding,456.6235,16590.5936,Round_Grinding
processing,98186.6783,16626.3203,Final_Inspection
wip_holding,841.6001,16626.3203,Final_Inspection
processing,42000.0,16686.3203,Packing
wip_holding,360.0,16686.3203,Packing
processing,47095.3084,16693.5993,Final_Inspection
